,자치구별(2),살인 발생,살인 검거,강도 발생,강도 검거,강간 강제추행 발생,강간 강제추행 검거,절도 발생,절도 검거,폭력 발생,폭력 검거
0,종로구,2,3,8,8,228,988,1313,932,1587,1353
1,중구,1,2,5,4,194,123,1365,724,1506,1266
2,용산구,5,3,7,7,280,238,978,508,1697,1337
3,성동구,2,2,2,2,125,97,979,538,1086,958
4,광진구,6,5,0,0,230,174,1670,831,1713,1488
5,동대문구,4,4,2,2,125,106,1556,823,1566,1296
6,중랑구,2,2,2,2,150,121,1508,882,1937,1664
7,성북구,3,3,1,1,158,129,1143,715,1444,1277
8,강북구,5,4,5,6,177,147,872,589,1773,1597
9,도봉구,3,3,0,0,70,54,969,546,1099,966
10,노원구,3,3,3,1,180,151,1504,729,2206,1757
11,은평구,4,4,5,4,176,146,1497,946,1805,1558
12,서대문구,5,4,6,6,157,144,1114,565,1092,886
13,마포구,2,2,2,1,436,368,1451,653,2205,1790
14,양천구,2,2,3,3,114,92,1474,781,1576,1252
15,강서구,3,3,7,7,261,195,1991,1185,2401,2201
16,구로구,11,11,8,9,217,145,1565,841,2056,1726
17,금천구,2,1,3,3,127,87,1118,662,1327,1134
18,영등포구,5,6,10,9,327,237,2062,953,2415,1981
19,동작구,2,3,5,5,212,107,1195,588,1321,1038
20,관악구,10,8,9,8,327,279,1966,1050,2567,2066
21,서초구,3,2,3,3,431,328,1921,1024,2101,1741
22,강남구,12,10,11,10,667,534,2495,1207,3762,3259
23,송파구,2,2,5,6,290,220,2201,1033,2669,2148
24,강동구,5,6,5,5,157,134,1672,900,1872,1599
